Model,Brand,purchase_place,Year_of_manufacture,total_cars,percentage_by_model,percentage_by_place,percentage_of_total,avg_mileage
City,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,106893.00
Creta,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,81206.00
Creta,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,174139.00
Creta,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,181898.00
Harrier,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,165114.00
Harrier,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,24375.00
i20,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,161164.00
i20,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,197749.00
Innova,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,152085.00
Innova,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,112864.00
Nexon,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,147763.00
Nexon,Toyota,Yelahanka,1993,3,0.05,0.05,0.00,113340.00
Nexon,Toyota,Yelahanka,1993,2,0.03,0.03,0.00,186303.00
Nexon,Toyota,Yelahanka,1993,2,0.03,0.03,0.00,65351.00
Seltos,Toyota,Yelahanka,1993,3,0.05,0.05,0.00,95796.00
Seltos,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,69372.00
Swift,Toyota,Yelahanka,1993,2,0.03,0.03,0.00,233381.00
Swift,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,235397.00
Swift,Toyota,Yelahanka,1993,2,0.03,0.03,0.00,111103.00
Thar,Toyota,Yelahanka,1993,1,0.02,0.02,0.00,215543.00
Baleno,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,90931.00
City,Honda,Basavanagudi,1994,2,0.03,0.03,0.00,108271.50
City,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,221105.00
Creta,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,156879.00
Harrier,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,201021.00
Harrier,Honda,Basavanagudi,1994,3,0.05,0.05,0.00,100796.00
i20,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,202660.00
i20,Honda,Basavanagudi,1994,3,0.05,0.05,0.00,180359.00
Innova,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,193896.00
Innova,Honda,Basavanagudi,1994,2,0.03,0.03,0.00,157403.50
Nexon,Honda,Basavanagudi,1994,2,0.03,0.03,0.00,225350.50
Seltos,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,142105.00
Seltos,Honda,Basavanagudi,1994,4,0.06,0.07,0.01,161350.75
Seltos,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,168212.00
Swift,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,147756.00
Thar,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,121264.00
Thar,Honda,Basavanagudi,1994,3,0.05,0.05,0.00,111420.00
Thar,Honda,Basavanagudi,1994,1,0.02,0.02,0.00,159868.00
Baleno,Honda,Hebbal,1994,1,0.02,0.02,0.00,245195.00
Baleno,Honda,Hebbal,1994,1,0.02,0.02,0.00,125903.00
City,Honda,Hebbal,1994,1,0.02,0.02,0.00,168375.00
City,Honda,Hebbal,1994,1,0.02,0.02,0.00,150947.00
Creta,Honda,Hebbal,1994,1,0.02,0.02,0.00,142990.00
Creta,Honda,Hebbal,1994,2,0.03,0.03,0.00,112932.00
Harrier,Honda,Hebbal,1994,1,0.02,0.02,0.00,202596.00
Harrier,Honda,Hebbal,1994,1,0.02,0.02,0.00,242160.00
i20,Honda,Hebbal,1994,3,0.05,0.05,0.00,209429.00
Innova,Honda,Hebbal,1994,2,0.03,0.03,0.00,162776.00
Innova,Honda,Hebbal,1994,1,0.02,0.02,0.00,110997.00
Nexon,Honda,Hebbal,1994,1,0.02,0.02,0.00,180635.00
Nexon,Honda,Hebbal,1994,2,0.03,0.03,0.00,203644.00
Seltos,Honda,Hebbal,1994,1,0.02,0.02,0.00,171141.00
Swift,Honda,Hebbal,1994,1,0.02,0.02,0.00,275767.00
Swift,Honda,Hebbal,1994,1,0.02,0.02,0.00,126129.00
Swift,Honda,Hebbal,1994,1,0.02,0.02,0.00,238037.00
Thar,Honda,Hebbal,1994,1,0.02,0.02,0.00,191970.00
Thar,Honda,Hebbal,1994,1,0.02,0.02,0.00,293578.00
Baleno,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,233230.00
City,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,210622.00
Creta,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,299605.00
Creta,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,217919.00
Nexon,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,128809.00
Nexon,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,204827.00
Swift,Honda,"HSR Layout",1994,2,0.03,0.03,0.00,160238.50
Swift,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,101639.00
Swift,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,155794.00
Thar,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,194192.00
Thar,Honda,"HSR Layout",1994,1,0.02,0.02,0.00,149175.00
City,Honda,Indiranagar,1994,1,0.02,0.02,0.00,114382.00
City,Honda,Indiranagar,1994,1,0.02,0.02,0.00,60985.00
Creta,Honda,Indiranagar,1994,1,0.02,0.02,0.00,258303.00
Harrier,Honda,Indiranagar,1994,2,0.03,0.03,0.00,239834.00
Harrier,Honda,Indiranagar,1994,1,0.02,0.02,0.00,267646.00
i20,Honda,Indiranagar,1994,2,0.03,0.03,0.00,154003.00
Nexon,Honda,Indiranagar,1994,2,0.03,0.03,0.00,283164.00
Seltos,Honda,Indiranagar,1994,1,0.02,0.02,0.00,131050.00
Thar,Honda,Indiranagar,1994,1,0.02,0.02,0.00,160284.00
Thar,Honda,Indiranagar,1994,1,0.02,0.02,0.00,78513.00
Thar,Honda,Indiranagar,1994,1,0.02,0.02,0.00,220416.00
Baleno,Honda,Jayanagar,1994,1,0.02,0.02,0.00,192760.00
Baleno,Honda,Jayanagar,1994,2,0.03,0.03,0.00,160322.00
City,Honda,Jayanagar,1994,2,0.03,0.03,0.00,180391.50
City,Honda,Jayanagar,1994,1,0.02,0.02,0.00,256210.00
Creta,Honda,Jayanagar,1994,2,0.03,0.03,0.00,164685.50
Harrier,Honda,Jayanagar,1994,1,0.02,0.02,0.00,237484.00
Harrier,Honda,Jayanagar,1994,2,0.03,0.03,0.00,200173.00
i20,Honda,Jayanagar,1994,1,0.02,0.02,0.00,187382.00
i20,Honda,Jayanagar,1994,2,0.03,0.03,0.00,148155.00
Innova,Honda,Jayanagar,1994,4,0.06,0.06,0.01,219543.25
Innova,Honda,Jayanagar,1994,1,0.02,0.02,0.00,140066.00
Innova,Honda,Jayanagar,1994,1,0.02,0.02,0.00,160732.00
Nexon,Honda,Jayanagar,1994,1,0.02,0.02,0.00,194159.00
Seltos,Honda,Jayanagar,1994,2,0.03,0.03,0.00,195394.50
Swift,Honda,Jayanagar,1994,2,0.03,0.03,0.00,201486.50
Thar,Honda,Jayanagar,1994,3,0.05,0.05,0.00,161010.00
Thar,Honda,Jayanagar,1994,1,0.02,0.02,0.00,222069.00
Thar,Honda,Jayanagar,1994,1,0.02,0.02,0.00,180301.00
Thar,Honda,Jayanagar,1994,1,0.02,0.02,0.00,106469.00
Thar,Honda,Jayanagar,1994,1,0.02,0.02,0.00,151183.00
Baleno,Honda,Koramangala,1994,1,0.02,0.02,0.00,113056.00
Baleno,Honda,Koramangala,1994,3,0.05,0.05,0.00,196159.00
Baleno,Honda,Koramangala,1994,1,0.02,0.02,0.00,166165.00
Baleno,Honda,Koramangala,1994,2,0.03,0.03,0.00,174693.50
City,Honda,Koramangala,1994,4,0.06,0.06,0.01,140081.25
Creta,Honda,Koramangala,1994,1,0.02,0.02,0.00,140587.00
Creta,Honda,Koramangala,1994,1,0.02,0.02,0.00,91079.00
Creta,Honda,Koramangala,1994,1,0.02,0.02,0.00,150089.00
Creta,Honda,Koramangala,1994,3,0.05,0.05,0.00,162098.00
Harrier,Honda,Koramangala,1994,1,0.02,0.02,0.00,226658.00
Harrier,Honda,Koramangala,1994,1,0.02,0.02,0.00,65140.00
i20,Honda,Koramangala,1994,1,0.02,0.02,0.00,298542.00
i20,Honda,Koramangala,1994,1,0.02,0.02,0.00,91997.00
Innova,Honda,Koramangala,1994,1,0.02,0.02,0.00,139506.00
Innova,Honda,Koramangala,1994,1,0.02,0.02,0.00,190355.00
Innova,Honda,Koramangala,1994,1,0.02,0.02,0.00,143951.00
Nexon,Honda,Koramangala,1994,1,0.02,0.02,0.00,134272.00
Nexon,Honda,Koramangala,1994,1,0.02,0.02,0.00,224578.00
Nexon,Honda,Koramangala,1994,1,0.02,0.02,0.00,31959.00
Nexon,Honda,Koramangala,1994,1,0.02,0.02,0.00,105593.00
Seltos,Honda,Koramangala,1994,1,0.02,0.02,0.00,138835.00
Swift,Honda,Koramangala,1994,1,0.02,0.02,0.00,172364.00
Swift,Honda,Koramangala,1994,1,0.02,0.02,0.00,189351.00
Thar,Honda,Koramangala,1994,1,0.02,0.02,0.00,217805.00
Thar,Honda,Koramangala,1994,1,0.02,0.02,0.00,206091.00
Baleno,Honda,Malleswaram,1994,1,0.02,0.02,0.00,142956.00
City,Honda,Malleswaram,1994,1,0.02,0.02,0.00,159730.00
City,Honda,Malleswaram,1994,1,0.02,0.02,0.00,205613.00
City,Honda,Malleswaram,1994,1,0.02,0.02,0.00,142267.00
Creta,Honda,Malleswaram,1994,1,0.02,0.02,0.00,112493.00
Creta,Honda,Malleswaram,1994,3,0.05,0.05,0.00,231782.00
Creta,Honda,Malleswaram,1994,1,0.02,0.02,0.00,154072.00
Creta,Honda,Malleswaram,1994,1,0.02,0.02,0.00,253481.00
Harrier,Honda,Malleswaram,1994,2,0.03,0.03,0.00,213287.50
Harrier,Honda,Malleswaram,1994,1,0.02,0.02,0.00,200978.00
i20,Honda,Malleswaram,1994,1,0.02,0.02,0.00,114125.00
i20,Honda,Malleswaram,1994,2,0.03,0.03,0.00,135416.00
i20,Honda,Malleswaram,1994,1,0.02,0.02,0.00,245909.00
Innova,Honda,Malleswaram,1994,1,0.02,0.02,0.00,309907.00
Innova,Honda,Malleswaram,1994,1,0.02,0.02,0.00,275530.00
Innova,Honda,Malleswaram,1994,3,0.05,0.05,0.00,119964.00
Nexon,Honda,Malleswaram,1994,3,0.05,0.05,0.00,142666.00
Nexon,Honda,Malleswaram,1994,1,0.02,0.02,0.00,236970.00
Seltos,Honda,Malleswaram,1994,1,0.02,0.02,0.00,205719.00
Seltos,Honda,Malleswaram,1994,1,0.02,0.02,0.00,213635.00
Seltos,Honda,Malleswaram,1994,1,0.02,0.02,0.00,155853.00
Seltos,Honda,Malleswaram,1994,1,0.02,0.02,0.00,221129.00
Swift,Honda,Malleswaram,1994,1,0.02,0.02,0.00,169647.00
Thar,Honda,Malleswaram,1994,1,0.02,0.02,0.00,160399.00
Thar,Honda,Malleswaram,1994,5,0.08,0.08,0.01,185719.20
Baleno,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,188217.00
Creta,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,176827.00
i20,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,163089.00
Innova,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,227383.00
Innova,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,107841.00
Nexon,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,318153.00
Nexon,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,14500.00
Seltos,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,106273.00
Swift,Honda,Rajajinagar,1994,4,0.06,0.06,0.01,150031.00
Swift,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,131582.00
Thar,Honda,Rajajinagar,1994,1,0.02,0.02,0.00,215105.00
Baleno,Honda,Whitefield,1994,1,0.02,0.02,0.00,118424.00
City,Honda,Whitefield,1994,1,0.02,0.02,0.00,61380.00
City,Honda,Whitefield,1994,1,0.02,0.02,0.00,247102.00
City,Honda,Whitefield,1994,1,0.02,0.02,0.00,97044.00
City,Honda,Whitefield,1994,1,0.02,0.02,0.00,92328.00
Harrier,Honda,Whitefield,1994,4,0.06,0.06,0.01,131519.75
Harrier,Honda,Whitefield,1994,2,0.03,0.03,0.00,181460.00
Harrier,Honda,Whitefield,1994,1,0.02,0.02,0.00,231722.00
i20,Honda,Whitefield,1994,1,0.02,0.02,0.00,154146.00
Innova,Honda,Whitefield,1994,1,0.02,0.02,0.00,126707.00
Innova,Honda,Whitefield,1994,2,0.03,0.03,0.00,221096.00
Innova,Honda,Whitefield,1994,1,0.02,0.02,0.00,245994.00
Nexon,Honda,Whitefield,1994,1,0.02,0.02,0.00,253326.00
Seltos,Honda,Whitefield,1994,1,0.02,0.02,0.00,141564.00
Seltos,Honda,Whitefield,1994,1,0.02,0.02,0.00,114355.00
Seltos,Honda,Whitefield,1994,1,0.02,0.02,0.00,154632.00
Swift,Honda,Whitefield,1994,1,0.02,0.02,0.00,172499.00
Thar,Honda,Whitefield,1994,1,0.02,0.02,0.00,106975.00
Baleno,Honda,Yelahanka,1994,1,0.02,0.02,0.00,176136.00
Baleno,Honda,Yelahanka,1994,1,0.02,0.02,0.00,89599.00
Creta,Honda,Yelahanka,1994,3,0.05,0.05,0.00,96262.00
Creta,Honda,Yelahanka,1994,1,0.02,0.02,0.00,172251.00
Harrier,Honda,Yelahanka,1994,1,0.02,0.02,0.00,83197.00
Harrier,Honda,Yelahanka,1994,1,0.02,0.02,0.00,141526.00
Harrier,Honda,Yelahanka,1994,1,0.02,0.02,0.00,107280.00
i20,Honda,Yelahanka,1994,2,0.03,0.03,0.00,277474.00
Nexon,Honda,Yelahanka,1994,2,0.03,0.03,0.00,137748.50
Seltos,Honda,Yelahanka,1994,1,0.02,0.02,0.00,191696.00
Seltos,Honda,Yelahanka,1994,3,0.05,0.05,0.00,209556.00
Swift,Honda,Yelahanka,1994,2,0.03,0.03,0.00,147538.00
Swift,Honda,Yelahanka,1994,1,0.02,0.02,0.00,230315.00
Swift,Honda,Yelahanka,1994,1,0.02,0.02,0.00,247984.00
Thar,Honda,Yelahanka,1994,1,0.02,0.02,0.00,258760.00
Thar,Honda,Yelahanka,1994,1,0.02,0.02,0.00,154958.00
Thar,Honda,Yelahanka,1994,1,0.02,0.02,0.00,78474.00
Thar,Honda,Yelahanka,1994,1,0.02,0.02,0.00,186509.00
Thar,Honda,Yelahanka,1994,1,0.02,0.02,0.00,207453.00
Baleno,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,106285.00
Baleno,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,97267.00
Creta,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,161169.00
Creta,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,274261.00
Creta,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,160489.00
Harrier,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,224052.00
i20,Hyundai,Basavanagudi,1994,3,0.05,0.05,0.00,229902.00
i20,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,130094.00
Innova,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,230780.00
Innova,Hyundai,Basavanagudi,1994,2,0.03,0.03,0.00,246340.00
Nexon,Hyundai,Basavanagudi,1994,2,0.03,0.03,0.00,187923.00
Seltos,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,126117.00
Seltos,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,147408.00
Swift,Hyundai,Basavanagudi,1994,1,0.02,0.02,0.00,140262.00
Baleno,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,206366.00
Baleno,Hyundai,Hebbal,1994,2,0.03,0.03,0.00,144741.50
Baleno,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,200892.00
i20,Hyundai,Hebbal,1994,2,0.03,0.03,0.00,200665.00
Innova,Hyundai,Hebbal,1994,2,0.03,0.03,0.00,194571.00
Innova,Hyundai,Hebbal,1994,2,0.03,0.03,0.00,192300.00
Innova,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,179954.00
Nexon,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,177252.00
Nexon,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,239384.00
Nexon,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,233909.00
Seltos,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,263545.00
Seltos,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,214256.00
Seltos,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,115182.00
Swift,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,239677.00
Swift,Hyundai,Hebbal,1994,2,0.03,0.03,0.00,223164.00
Thar,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,138459.00
Thar,Hyundai,Hebbal,1994,1,0.02,0.02,0.00,187637.00
Thar,Hyundai,Hebbal,1994,3,0.05,0.05,0.00,158889.00
Baleno,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,144191.00
City,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,100767.00
City,Hyundai,"HSR Layout",1994,2,0.03,0.03,0.00,144818.00
Creta,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,150988.00
Creta,Hyundai,"HSR Layout",1994,3,0.05,0.05,0.00,192087.00
i20,Hyundai,"HSR Layout",1994,3,0.05,0.05,0.00,53883.00
i20,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,231798.00
Innova,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,161362.00
Innova,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,128097.00
Innova,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,153841.00
Nexon,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,226288.00
Nexon,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,202171.00
Nexon,Hyundai,"HSR Layout",1994,3,0.05,0.05,0.00,81129.00
Seltos,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,43207.00
Seltos,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,111629.00
Seltos,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,157321.00
Seltos,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,38148.00
Swift,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,198273.00
Swift,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,142423.00
Thar,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,128595.00
Thar,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,216852.00
Thar,Hyundai,"HSR Layout",1994,1,0.02,0.02,0.00,103370.00
Baleno,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,185742.00
Baleno,Hyundai,Indiranagar,1994,2,0.03,0.03,0.00,180208.00
Baleno,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,246038.00
Baleno,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,204842.00
Creta,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,65245.00
Creta,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,185545.00
Creta,Hyundai,Indiranagar,1994,3,0.05,0.05,0.00,179812.00
Harrier,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,251030.00
Harrier,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,301588.00
Harrier,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,145863.00
Innova,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,183285.00
Innova,Hyundai,Indiranagar,1994,3,0.05,0.05,0.00,219451.00
Seltos,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,182959.00
Swift,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,175499.00
Swift,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,83058.00
Swift,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,148970.00
Thar,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,155689.00
Thar,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,187452.00
Thar,Hyundai,Indiranagar,1994,1,0.02,0.02,0.00,212371.00
Baleno,Hyundai,Jayanagar,1994,2,0.03,0.03,0.00,173210.50
Baleno,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,204394.00
Baleno,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,179664.00
Baleno,Hyundai,Jayanagar,1994,2,0.03,0.03,0.00,232049.50
Baleno,Hyundai,Jayanagar,1994,3,0.05,0.05,0.00,131248.00
Baleno,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,171821.00
City,Hyundai,Jayanagar,1994,3,0.05,0.05,0.00,217607.00
City,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,206717.00
City,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,191981.00
City,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,108739.00
City,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,123777.00
Creta,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,174716.00
Harrier,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,131885.00
Harrier,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,184831.00
Harrier,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,200636.00
i20,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,65130.00
i20,Hyundai,Jayanagar,1994,2,0.03,0.03,0.00,171539.50
Innova,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,246363.00
Nexon,Hyundai,Jayanagar,1994,2,0.03,0.03,0.00,213514.00
Swift,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,233699.00
Swift,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,126937.00
Thar,Hyundai,Jayanagar,1994,1,0.02,0.02,0.00,139375.00
City,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,55623.00
City,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,155487.00
City,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,146807.00
Creta,Hyundai,Koramangala,1994,2,0.03,0.03,0.00,107472.00
Creta,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,216335.00
Creta,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,148148.00
Creta,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,137972.00
Harrier,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,208081.00
Harrier,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,134875.00
Harrier,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,194711.00
i20,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,168808.00
i20,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,262648.00
Nexon,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,292539.00
Nexon,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,182484.00
Nexon,Hyundai,Koramangala,1994,2,0.03,0.03,0.00,137121.00
Seltos,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,163837.00
Seltos,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,166217.00
Swift,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,249408.00
Swift,Hyundai,Koramangala,1994,3,0.05,0.05,0.00,171688.00
Thar,Hyundai,Koramangala,1994,1,0.02,0.02,0.00,107899.00
Baleno,Hyundai,Malleswaram,1994,4,0.06,0.06,0.01,203108.75
Baleno,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,112921.00
Baleno,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,208826.00
Baleno,Hyundai,Malleswaram,1994,4,0.06,0.06,0.01,94020.50
City,Hyundai,Malleswaram,1994,3,0.05,0.05,0.00,238571.00
Creta,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,147545.00
Creta,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,212417.00
Harrier,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,188949.00
Harrier,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,244789.00
i20,Hyundai,Malleswaram,1994,2,0.03,0.03,0.00,141282.50
i20,Hyundai,Malleswaram,1994,3,0.05,0.05,0.00,264924.00
i20,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,163333.00
i20,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,148926.00
Innova,Hyundai,Malleswaram,1994,3,0.05,0.05,0.00,228838.00
Innova,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,155093.00
Nexon,Hyundai,Malleswaram,1994,2,0.03,0.03,0.00,237640.00
Swift,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,239736.00
Swift,Hyundai,Malleswaram,1994,2,0.03,0.03,0.00,175591.00
Swift,Hyundai,Malleswaram,1994,1,0.02,0.02,0.00,174813.00
Baleno,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,107326.00
City,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,194940.00
City,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,177733.00
Creta,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,256069.00
Harrier,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,210519.00
Harrier,Hyundai,Rajajinagar,1994,2,0.03,0.03,0.00,221138.50
Harrier,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,160846.00
Innova,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,189807.00
Nexon,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,152703.00
Swift,Hyundai,Rajajinagar,1994,2,0.03,0.03,0.00,175510.50
Swift,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,213156.00
Swift,Hyundai,Rajajinagar,1994,3,0.05,0.05,0.00,123733.00
Swift,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,232322.00
Swift,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,47409.00
Thar,Hyundai,Rajajinagar,1994,3,0.05,0.05,0.00,178398.00
Thar,Hyundai,Rajajinagar,1994,1,0.02,0.02,0.00,290223.00
Baleno,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,181512.00
Baleno,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,175499.00
City,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,180397.00
City,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,145664.00
Harrier,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,205559.00
i20,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,132755.00
Innova,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,198863.00
Innova,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,215480.00
Nexon,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,70094.00
Nexon,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,92007.00
Seltos,Hyundai,Whitefield,1994,3,0.05,0.05,0.00,187698.00
Swift,Hyundai,Whitefield,1994,1,0.02,0.02,0.00,170518.00
Thar,Hyundai,Whitefield,1994,2,0.03,0.03,0.00,232340.50
Baleno,Hyundai,Yelahanka,1994,2,0.03,0.03,0.00,29947.00
Baleno,Hyundai,Yelahanka,1994,3,0.05,0.05,0.00,105467.00
Baleno,Hyundai,Yelahanka,1994,4,0.06,0.06,0.01,177947.75
City,Hyundai,Yelahanka,1994,1,0.02,0.02,0.00,154176.00
City,Hyundai,Yelahanka,1994,1,0.02,0.02,0.00,171468.00
City,Hyundai,Yelahanka,1994,2,0.03,0.03,0.00,225029.00
